user_id,avg_buy_days,first_buy_days,avg_pay_money,all_pay_money,shopping_goods,follow_stores,avg_buy_goods,Installment_money
93554039,22,133,2020,12211,394,3,3,1144
54338221,112,594,8294,43988,311,75,2,935
20600875,43,428,8335,82963,323,57,2,2149
95051150,163,1524,8348,78051,189,60,3,907
52395509,175,859,1590,7805,35,33,4,1285
80062403,30,136,4549,20622,90,6,5,2542
83215084,152,310,1718,3503,143,85,6,646
27623423,154,809,1163,6109,219,37,5,2299
62152489,34,300,3491,30802,134,89,3,1266
87522536,133,1185,3034,27032,6,44,1,1498
65213658,103,392,3999,15219,385,80,6,2716
68851819,123,786,3925,25082,186,8,4,1700
34399838,59,543,9572,88095,66,49,6,1923
71219884,61,272,3764,16783,230,51,6,766
97861283,140,481,3010,10342,141,27,6,1554
73421672,123,1041,2145,18154,396,30,3,887
46391461,82,473,4209,24279,338,5,4,1969
47827728,151,995,2813,18535,337,12,4,1878
23018614,146,1347,7934,73199,313,39,4,1787
108105126,90,584,3306,21453,156,37,5,765
51236706,21,85,2448,9909,327,46,6,2667
18386494,138,986,6853,48965,197,88,1,812
39252301,67,379,4374,24743,126,6,6,1839
97777824,94,223,3317,7869,227,94,1,1057
97982373,64,191,8556,25534,395,81,1,2566
64110639,150,573,4685,17897,371,45,6,1456
76474470,62,490,5819,45988,195,20,1,1465
60027504,111,742,9756,65216,149,85,1,1993
46658391,99,440,8248,36657,304,48,2,1255
35325298,75,238,9381,29770,318,25,6,1553
13099086,175,1335,7119,54307,387,58,2,1709
13894404,146,1435,4795,47129,266,86,5,1387
86447975,34,315,7711,71440,376,65,5,2670
32446249,31,118,5449,20741,87,48,6,1887
38723557,111,673,933,5657,266,99,4,1021
34881965,110,416,7427,28087,196,96,5,1622
76092593,65,512,2077,16361,164,67,3,2249
79668040,93,401,5361,23116,150,8,5,1968
16820867,34,296,7488,65189,329,49,2,2351
5973117,50,115,6820,15686,342,75,6,2072
88579732,22,142,3545,22882,302,71,2,1040
6331395,75,392,1918,10025,185,60,5,2323
34298981,41,200,8796,42907,87,38,5,1602
36319464,147,1055,4301,30867,341,68,1,1128
23631710,23,105,2878,13138,179,25,2,1322
52479118,172,1281,6996,52104,93,65,4,1912
43399954,67,301,6996,31429,376,14,5,1830
40738649,109,962,7942,70093,306,62,6,541
83199422,79,198,3807,9541,356,70,3,863
68093084,101,692,1104,7565,76,23,3,1147
42702033,136,597,2349,10312,318,27,5,1609
17773625,108,470,1110,4830,243,100,6,1116
110368341,97,641,2749,18166,141,50,4,2258
106763390,85,516,8946,54308,243,89,4,588
17377784,114,986,7607,65794,385,84,4,1284
8840577,84,662,4089,32226,261,98,3,1676
47299392,97,223,1071,2463,224,91,2,2296
54810347,91,382,8776,36839,89,19,5,1851
14847142,91,510,6604,37012,131,81,6,739
50832369,153,608,1586,6302,81,91,2,1063
88540609,46,439,502,4791,203,62,5,867
87109031,99,201,5619,11409,88,48,5,1677
23384481,81,751,916,8492,179,100,6,1111
98099462,175,953,5598,30485,139,21,3,1181
82721648,131,1083,3184,26323,279,100,4,1850
9261344,75,526,9913,69524,41,47,6,1692
59734048,31,63,636,1293,32,1,1,1477
95303998,158,1279,1715,13882,390,70,1,1276
109491193,167,713,7150,30526,253,12,3,1162
3275724,179,1292,3896,28120,356,82,2,1189
11593388,180,612,1194,4059,310,4,6,1485
1357290,133,1026,9448,72885,316,55,1,1605
43911099,61,352,7796,44986,151,60,4,2749
82492501,64,138,2305,4971,149,79,6,1105
61233214,71,591,467,3888,230,72,6,1380
19420276,35,270,5564,42922,128,89,2,873
17198978,38,196,7185,37059,264,22,1,1383
37388036,143,816,5474,31237,242,83,1,2128
22550105,137,878,9902,63459,374,67,1,1414
47423940,30,285,1007,9567,349,33,1,2185
21071217,180,1066,3818,22611,283,31,4,574
56492728,20,73,4922,17965,300,52,5,2870
83975956,94,753,1575,12617,146,89,6,2613
103890762,94,385,6321,25890,324,89,5,1943
98008801,117,970,7809,64742,365,80,2,752
89751165,54,284,804,4229,99,59,2,865
65936540,29,269,3109,28839,383,40,1,2755
14529263,130,750,9572,55224,134,64,2,541
50588043,141,434,6793,20908,224,7,2,804
43279633,136,1026,4947,37321,4,61,5,1533
49620205,98,580,658,3894,148,19,5,1122
84863336,83,199,5042,12089,225,53,6,524
9297389,30,67,5774,12896,397,91,6,1007
99223014,106,226,2253,4804,154,52,2,2867
32885608,44,312,2902,20578,232,10,6,1976
95939842,180,1606,7538,67255,293,78,4,643
83835907,21,166,4394,34734,190,69,5,2324
100979586,29,281,8450,81878,379,8,2,2673
7734973,128,1049,8802,72136,215,27,2,971
69601629,130,938,1683,12144,250,3,3,1442
92579706,55,523,6723,63930,373,62,1,1812
63907573,96,483,9509,47842,360,51,6,2814
78238690,170,600,9578,33804,158,40,4,2753
102129804,161,1391,286,2470,346,17,4,1004
99036285,112,1118,2330,23259,97,38,5,1535
94794634,163,572,2036,7144,337,76,2,2799
66788552,69,189,1402,3840,63,87,4,1484
5383190,149,680,3431,15659,287,51,6,1889
93785349,101,286,1632,4622,389,86,2,1068
30343758,29,134,1889,8728,308,20,6,1039
47186636,68,408,5367,32202,19,9,2,1231
81086463,170,831,269,1315,399,34,3,1444
35520470,49,213,4727,20548,318,69,1,619
107204803,112,281,5827,14619,250,93,4,1978
28780357,179,1013,1887,10678,206,41,3,1257
81616206,134,1048,5343,41788,212,94,1,1488
93649738,105,730,6997,48645,180,8,4,1511
24380545,154,650,4048,17085,211,85,2,989
52979201,150,300,1361,2723,328,65,5,2356
104936506,153,1015,5658,37535,9,33,1,1477
43739201,20,127,7654,48602,90,10,4,2710
11067260,55,174,9289,29387,122,37,4,2563
40857578,63,424,68,457,217,77,4,1291
12089625,104,208,438,876,345,11,1,1058
32273721,175,1359,1133,8798,97,40,1,995
65528369,92,572,6584,40935,184,31,2,2749
105482020,85,195,2451,5622,39,3,5,1646
28422027,117,688,2462,14477,258,39,2,2740
54687673,150,885,5027,29659,280,42,4,1431
58546846,139,593,1272,5426,262,18,4,1091
107952869,81,522,9537,61460,121,65,4,631
67519490,46,113,7290,17909,33,51,6,1810
93836217,57,510,576,5153,114,48,6,1154
31962228,76,442,1753,10195,38,13,5,1407
5438000,164,909,3501,19405,84,35,4,1605
19292195,25,112,9191,41175,186,62,4,2882
62184351,131,827,5461,34475,184,27,3,1481
100534296,22,113,1487,7637,174,76,6,1204
86167946,164,723,9350,41219,199,57,2,504
55433457,81,340,7018,29459,93,50,5,1680
109411800,129,882,6004,41051,194,27,1,1291
23727281,180,655,6057,22041,357,43,5,2734
98218268,163,944,593,3434,118,30,5,859
37782142,95,708,3643,27149,191,13,5,1799
62731631,130,282,4048,8781,111,26,1,1489
77044566,60,251,5429,22712,58,71,1,903
18775206,177,1467,5092,42203,344,95,2,2332
42367401,67,162,2312,5590,277,95,1,673
74692405,159,985,3368,20864,165,12,6,1724
64907449,163,639,3959,15520,149,4,3,1011
24226074,99,257,1709,4437,383,13,2,1104
66884687,47,311,8486,56153,171,13,4,1750
71215685,43,98,5542,12631,34,19,3,1360
46211523,150,386,9669,24881,175,66,1,1251
96921361,146,1361,5055,47123,216,72,6,591
105794555,159,1267,6694,53341,40,75,1,1381
83104974,43,377,5489,48125,133,14,3,1449
30839650,22,205,1384,12896,287,4,2,1605
13993766,149,1023,1310,8995,348,27,2,1441
62800227,98,745,3722,28295,132,40,2,931
46613502,110,1064,3457,33438,116,25,4,1704
87302320,146,1271,4363,37982,22,87,6,1854
41761752,105,628,291,1741,239,26,1,1093
86011119,40,253,6050,38266,29,6,5,1961
86044803,51,423,3858,31998,386,59,1,1428
36578856,95,284,5617,16792,1,93,5,1680
41158948,46,111,9850,23768,93,15,4,1645
28836850,54,291,7586,40881,135,57,1,1041
93532889,120,1016,3761,31844,182,15,4,1607
103950869,59,352,2451,14622,16,20,2,1411
74313115,26,225,4209,36425,298,52,6,2347
83759371,37,311,9087,76380,389,44,3,696
36290949,62,283,7657,34951,40,12,4,1922
69655187,38,162,7207,30725,141,64,4,544
19018066,163,1124,7165,49407,41,39,5,1886
77775375,85,277,4006,13055,231,97,6,2579
27364056,74,673,8991,81769,51,76,3,909
63333077,33,105,1291,4107,270,4,5,1073
39969762,136,918,5460,36855,103,35,1,573
109158866,100,573,7383,42304,101,51,3,1543
31947181,99,326,7774,25599,136,58,2,1758
81078800,87,186,7110,15200,173,85,2,2607
81648016,180,719,9325,37248,1,68,4,1754
26860915,153,484,776,2455,148,3,1,854
56188805,24,202,7710,64892,173,30,3,1567
41716960,141,1315,5167,48188,378,38,5,2021
26741597,177,1535,8026,69605,211,33,5,2833
34884539,113,603,8646,46137,257,38,5,2348
26209572,101,984,9243,90050,120,36,4,2142
18964244,42,320,587,4473,255,4,3,1101
49274416,133,423,3989,12687,269,37,2,2293
91309495,34,171,3047,15325,131,81,5,794
4970137,38,226,516,3069,232,86,1,913
66124636,43,214,1420,7066,250,50,2,1970
26716569,100,421,8271,34821,361,86,1,1885
32816075,81,591,8899,64929,377,92,3,1315
83527184,88,481,4861,26569,5,36,4,1895
94450790,48,357,2663,19806,244,86,6,2016
68635112,174,596,756,2590,244,34,6,1196
6599953,80,719,4000,35949,340,18,3,1378
93503339,128,1190,7904,73483,172,69,3,750
70263907,56,372,2725,18102,321,50,6,2263
1143098,156,350,8159,18305,190,10,3,854
98960951,89,676,1887,14332,107,20,2,1105
86567800,112,1115,3620,36038,36,92,6,1905
10074700,110,1006,7792,71261,108,16,5,1939
67014458,179,593,742,2458,242,45,1,1479
59518993,143,603,3873,16331,229,15,3,900
10224220,144,575,2253,8997,125,45,6,1615
14892973,54,227,6936,29156,49,15,4,1985
8887785,124,1000,8747,70541,228,48,4,1284
108111704,81,486,5460,32761,297,18,6,1607
65819755,137,767,8737,48915,16,10,1,980
33908749,103,383,6972,25926,27,20,6,1778
6122349,56,132,3717,8761,183,59,5,2656
11160521,134,455,1524,5175,324,97,2,990
18470069,151,845,9301,52049,64,37,4,1671
109507480,62,578,6352,59217,310,89,1,2573
36065227,154,350,8509,19338,215,1,2,1355
3845670,43,344,4367,34937,199,53,3,903
29284128,122,995,8417,68646,301,3,5,1725
79268559,121,301,1778,4423,55,63,5,914
13285729,138,1009,5526,40403,360,80,1,887
58264282,70,226,5255,16966,5,35,4,1672
21512445,81,758,2243,20991,197,45,6,1074
9763414,66,536,7763,63045,377,85,4,2289
66558570,54,197,2165,7899,68,86,4,1833
5808135,75,740,7830,77257,368,19,6,1900
2513951,131,542,8104,33530,200,21,5,1860
42202031,118,1023,5442,47180,237,17,3,834
72450053,158,903,4530,25889,108,1,6,1530
14143556,129,651,897,4526,333,20,5,1090
101360856,99,858,4262,36937,188,86,6,2880
79281585,72,588,1117,9123,172,4,2,848
29204993,136,633,2907,13531,369,95,6,2409
37633632,77,637,823,6808,300,76,5,853
9581439,58,184,5057,16042,108,62,5,1711
11306041,62,361,2672,15557,203,34,3,586
80964225,145,1397,9228,88908,72,52,4,1745
60034463,147,1136,8525,65881,372,45,1,757
5445605,126,962,8173,62400,60,32,5,1968
21969831,82,685,8771,73270,265,43,2,2635
73951972,42,271,8236,53141,56,50,6,1942
36534578,87,607,8090,56445,27,18,6,1832
61062922,27,139,2253,11599,33,100,5,1811
81088764,108,444,6710,27585,359,45,1,1171
24279580,57,563,6896,68114,211,23,5,1607
91539669,90,318,3170,11201,283,53,3,945
33382768,179,903,2194,11068,222,8,5,1638
108970941,29,71,427,1046,125,41,1,1187
46365408,95,219,5076,11702,82,37,1,1144
50499478,49,316,9042,58311,319,87,5,549
58315293,166,1098,4132,27331,12,7,5,1650
28636850,117,825,5356,37767,97,53,5,1521
16795019,141,922,4574,29910,181,14,6,1553
13165626,151,973,2206,14214,321,67,6,590
76036200,168,842,6526,32708,397,45,5,1278
3684426,124,1107,3766,33621,379,53,2,2384
32016165,62,424,1230,8411,156,61,5,1716
12763899,82,205,9770,24425,43,71,5,1696
30738115,180,1021,7641,43342,395,79,1,1881
58999457,50,315,9893,62326,378,87,3,1208
79103859,143,822,808,4644,313,40,6,1132
88844789,83,397,2021,9667,395,73,1,1563
87900846,165,1014,9699,59605,138,39,5,532
71188710,21,181,2312,19927,147,19,1,1069
23593474,100,499,5538,27635,264,19,6,1576
95293501,45,327,8085,58752,398,2,4,1796
99091910,45,241,4738,25374,294,23,6,1943
28014892,129,1037,6879,55298,391,26,2,1416
43407921,166,1384,8010,66783,43,70,1,1183
104922025,89,311,1808,6318,253,35,6,2642
71719173,46,121,5812,15288,304,15,6,1523
104867175,121,937,5882,45550,327,12,4,1731
57287766,58,179,4534,13992,184,98,1,2956
46866037,84,626,6919,51564,59,54,5,1694
14226414,64,396,4513,27925,15,12,4,1788
100578067,84,611,1987,14454,36,42,3,819
18665396,34,83,6351,15503,319,40,6,1364
16739064,32,293,879,8049,109,1,2,1067
52011188,150,483,868,2794,77,61,4,1145
90615287,52,479,9092,83751,100,82,6,932
104383945,78,279,6598,23600,85,55,3,1418
97977180,80,651,5101,41509,351,45,4,1369
81962992,137,628,9920,45473,310,35,2,1451
81461400,49,180,6203,22786,90,41,6,1585
90503584,91,813,2026,18100,216,37,2,2401
26436011,133,1218,723,6621,324,75,6,1050
44916104,73,275,2188,8242,132,26,3,1353
47204258,68,572,5275,44372,374,68,3,2416
6309986,160,1486,2518,23385,333,86,3,1816
84474460,113,569,5592,28158,43,81,3,1036
63310049,48,321,5607,37497,275,88,5,2339
78954409,97,405,5653,23603,119,14,2,1468
51243600,124,787,2866,18189,298,45,1,1178
23704727,77,354,3073,14127,293,16,4,1958
102535262,112,891,7215,57398,9,96,5,1744
60443011,106,612,6027,34798,252,5,2,1204
48853034,41,94,383,878,357,37,5,967
104077477,94,686,7855,57325,104,48,2,2023
43510123,69,331,4473,21457,192,63,1,1500
108203360,86,294,6337,21663,98,30,4,1590
52489431,143,1410,3732,36799,226,31,3,1882
65042034,52,205,6103,24060,285,51,6,1671
54774230,71,600,5749,48583,25,41,5,1610
13936336,74,161,658,1432,347,83,4,1411
79643513,127,608,7147,34215,316,54,3,643
15067022,80,711,2644,23498,12,38,3,873
102585911,134,1077,8033,64563,57,48,1,1178
68043274,66,220,3970,13234,189,75,1,1288
79400526,149,501,7504,25232,41,100,3,1346
93595012,113,491,599,2603,12,77,3,1027
20127086,30,60,3890,7779,301,25,6,1861
35380004,155,349,9097,20483,67,88,6,1692
3659446,77,220,5051,14431,31,93,1,1172
72235966,57,203,1053,3751,317,94,4,1831
12703668,89,825,3011,27910,14,90,6,1847
34933758,96,703,3898,28545,28,44,5,1683
65364162,50,419,5812,48705,32,21,2,907
45965620,98,205,2483,5194,368,68,1,1903
44802180,84,217,3152,8143,40,86,4,1525
80187645,86,619,1133,8154,301,60,1,2044
1901473,41,355,5996,51917,3,11,2,849
40921185,53,226,2598,11078,335,78,2,1162
94874246,149,874,8888,52135,168,43,5,2213
45716350,108,807,8390,62691,159,27,5,1816
4473677,41,177,1020,4403,345,100,2,2405
10420919,131,932,7603,54091,341,54,3,1629
40552076,152,1399,8489,78132,24,39,4,1556
105288907,69,639,2067,19142,305,94,3,2088
15075297,180,1412,3774,29604,381,82,4,1796
57570069,83,772,6507,60523,367,57,5,1404
95989830,179,1387,794,6153,281,54,4,982
39157987,50,261,7917,41327,255,69,3,2297
23250194,174,1351,1183,9185,169,34,1,1937
9460904,161,974,4534,27429,307,72,1,1697
93154870,58,536,2375,21948,196,81,1,1079
72781810,129,802,5675,35281,102,100,5,716
97999232,65,603,4519,41923,219,2,3,1302
100452381,114,783,2381,16353,267,48,6,1151
59371504,83,389,2669,12509,56,60,1,935
8647572,120,859,702,5026,255,54,3,1091
73608831,82,704,3091,26537,112,58,3,749
63791597,150,381,3656,9287,27,94,3,1213
91435171,118,1012,5566,47735,73,64,4,1804
12437529,95,774,5741,46775,347,58,2,840
1871420,37,330,3810,33982,131,4,3,1137
35145707,89,337,3127,11841,121,24,6,1555
97338190,103,600,3008,17523,184,3,2,1196
21279216,76,653,3833,32934,174,45,2,2748
44348606,50,227,8910,40451,110,18,1,861
42770986,99,965,7447,72590,301,60,4,2250
79046248,70,555,6741,53447,105,48,6,2450
33265472,53,187,8795,31032,289,100,6,2049
59214924,91,622,5563,38025,242,61,6,1077
54344691,29,66,7497,17062,286,35,4,2788
110697083,69,560,4010,32545,26,40,1,1454
98855077,109,378,143,495,28,25,2,1464
109277210,95,692,7054,51383,97,62,5,1651
69626086,47,428,3996,36390,131,11,6,1702
67672481,144,376,8495,22182,182,37,1,2986
50773445,147,550,867,3244,143,44,5,957
23877269,127,506,2891,11519,162,2,3,1154
8256837,141,948,2310,15531,388,43,2,2274
90167684,121,440,2336,8495,207,25,4,1889
60038991,80,735,6319,58056,68,45,6,1966
73494953,53,329,5138,31894,190,34,4,2442
10645777,53,187,3589,12664,360,34,6,2194
95823074,180,1318,3634,26609,144,56,4,1095
44371065,77,698,8475,76826,37,88,2,1064
69719632,58,275,58,275,92,17,3,1258
68710080,73,459,5911,37167,310,39,3,1106
84061957,64,339,7374,39059,115,19,5,1562
39446289,103,444,2209,9523,33,10,1,1130
77252098,86,248,975,2811,311,11,1,1464
83249458,36,243,7544,50921,134,73,2,1458
71227014,80,626,8862,69346,192,29,2,939
2761512,53,113,2691,5737,259,82,3,2011
44974528,151,1229,3836,31221,66,9,5,1526
50164432,108,889,2292,18867,201,24,3,1287
82555191,49,386,979,7713,275,67,3,1084
30198761,113,614,4083,22185,247,64,1,2526
1513363,122,330,2958,8002,283,18,5,1630
16642420,80,283,8430,29821,329,77,1,2838
79104719,134,766,4391,25101,136,97,3,1732
77574969,175,537,57,175,260,60,1,70
30193449,138,596,3956,17086,70,50,4,1544
34920189,67,178,2165,5751,280,34,5,2279
2361049,94,282,5269,15806,83,51,1,848
16001201,23,227,9944,98142,107,6,4,1668
106270921,162,982,3111,18858,302,60,6,1497
89224578,79,688,5408,47097,71,85,1,1395
48159039,24,112,7600,35467,257,52,2,2140
98708664,73,640,9633,84454,190,18,1,881
20939613,144,1039,2034,14676,56,12,4,1640
18591735,92,466,3461,17530,310,49,1,708
105727925,49,247,4896,24680,107,13,6,1937
80205737,127,1134,7900,70541,236,18,1,1083
92184011,45,447,5800,57614,3,96,6,1507
17184479,135,482,2776,9911,225,58,3,697
37731708,80,266,8783,29203,385,40,5,1425
103509848,42,157,4780,17868,234,66,2,1727
45874057,161,1101,9998,68371,228,6,1,1126
103907443,107,242,4672,10566,301,31,1,1379
90432688,63,352,775,4330,49,26,5,1385
40012712,34,339,4773,47590,214,63,4,2409
100967826,34,284,5432,45374,227,86,1,2615
47931465,127,1119,3644,32107,38,51,5,1810
80708030,23,213,6107,56557,307,70,5,1325
39317319,84,232,8187,22611,16,43,4,1958
80824046,171,722,1436,6063,57,80,6,1137
92727013,71,560,8660,68305,159,60,1,731
43854779,173,574,362,1202,48,47,3,810
11171150,34,131,5123,19739,367,71,4,1244
75371479,64,440,683,4695,346,45,1,1331
65921242,36,242,9985,67121,346,86,5,502
90846649,132,1184,9076,81408,179,23,2,1460
47012287,122,329,9861,26593,201,60,1,1011
67118719,100,875,8409,73578,175,11,6,1773
25009676,102,448,7899,34694,377,30,5,1665
95608882,124,560,2812,12700,394,69,1,1118
77046504,26,225,5706,49379,283,30,3,1742
49851380,30,140,1874,8746,212,31,1,2191
50413827,177,559,5997,18939,110,20,1,1115
90436380,131,640,2000,9770,220,17,6,1943
19160787,179,1234,9315,64216,199,92,6,2213
29049770,82,377,6672,30674,392,66,2,1975
101390862,168,1132,4088,27545,265,5,5,1700
75633420,142,771,3903,21192,330,26,1,1281
11597878,31,310,1479,14790,346,76,1,1226
29953151,170,959,198,1117,285,94,4,1088
47226106,168,1281,7128,54350,194,15,4,1646
60420833,83,272,3689,12090,29,72,5,1587
7401898,54,371,571,3922,29,30,4,1342
34556052,177,569,9355,30073,284,41,3,1073
36188437,136,1322,9225,89672,290,98,5,2380
44502086,121,785,4376,28389,325,85,5,930
75896853,69,679,2190,21550,261,80,6,1890
98524185,47,193,8026,32958,364,45,2,1578
110211660,86,856,9054,90118,341,99,5,1484
83696299,26,178,5037,34485,184,47,1,2800
54041553,169,1057,7452,46608,385,24,3,970
36819231,126,953,9822,74288,317,23,4,1736
10431334,149,1437,4402,42454,59,79,1,1302
29739027,118,1071,8694,78910,258,98,3,2497
73647500,170,790,3008,13978,111,1,2,1060
70685514,55,257,5648,26392,289,35,5,1686
27140578,76,371,7964,38877,74,10,6,1683
15447773,127,769,5391,32643,204,3,4,1870
45892997,68,446,2575,16888,132,93,1,673
37577317,80,553,2851,19707,262,67,3,1773
12029652,142,399,7096,19938,335,65,4,753
64918595,31,193,6161,38357,390,23,2,807
100208251,75,338,3325,14985,335,20,6,1594
81439460,29,69,5345,12718,167,51,2,1860
101749147,76,286,7085,26661,34,46,4,1731
6740025,60,492,9187,75334,399,56,2,935
110767125,126,736,2882,16834,238,89,5,608
69149971,119,757,1596,10152,3,51,2,1486
63444723,160,378,1640,3875,55,27,2,1136
75196145,73,215,9418,27738,101,60,4,1274
10919497,144,1348,2044,19135,367,62,5,913
85482474,51,455,7220,64413,116,93,3,528
27839548,177,1220,3775,26020,79,97,6,1705
32879990,128,294,7017,16117,276,7,1,1219
89945980,163,1390,945,8058,168,37,6,1302
66019126,67,356,4074,21647,288,14,1,835
94449554,31,75,163,395,275,22,1,1408
91261826,148,496,2802,9391,42,26,5,1998
45220532,57,404,4589,32526,259,4,3,1157
108797252,143,1361,6295,59913,298,38,3,629
81884476,150,1279,460,3923,312,75,3,1269
12967104,28,119,2696,11459,33,76,4,2714
39387885,73,645,982,8676,284,18,2,1294
70109414,69,312,9380,42413,272,99,4,838
15300285,158,1019,4407,28423,105,29,2,1038
10717413,85,418,9937,48867,161,7,6,1924
105450673,119,771,4748,30762,57,77,3,829
56663714,170,365,815,1750,77,16,4,1210
84213982,20,136,5940,40392,198,36,1,2380
100020185,97,468,8721,42077,377,40,3,2681
99578861,98,562,4869,27923,336,18,6,1964
37757247,155,1043,9368,63038,312,3,1,1338
77766894,126,408,7625,24690,247,4,1,977
20469085,76,237,141,439,217,81,3,1182
9971295,24,59,7554,18571,224,58,3,2856
7609647,85,551,6381,41363,31,97,2,1104
22313271,141,584,286,1185,213,87,5,834
7455539,123,1007,9059,74165,321,15,3,954
20665451,113,307,1826,4961,242,15,5,1431
3330235,80,269,3102,10431,364,76,5,607
58979741,55,433,905,7125,335,92,4,1307
24178684,95,413,9112,39613,181,14,1,827
46474561,26,56,5793,12478,224,4,4,2920
46069854,138,361,5187,13569,149,91,3,2903
107011475,152,1004,7724,51020,140,87,3,2195
66134130,129,963,5473,40857,140,85,5,1691
93088992,44,331,9021,67862,220,62,1,542
64959046,145,596,2279,9367,62,8,3,1356
94801673,75,645,9761,83944,65,31,4,1814
68104568,178,648,4198,15282,149,30,5,1624
5588694,63,390,6133,37967,251,65,5,854
69114558,162,664,2378,9746,229,3,5,1539
34581303,130,1182,5499,49999,299,30,3,1006
81384318,96,711,7960,58953,24,47,5,1870
104565074,136,292,6742,14476,86,2,5,1588
82255544,169,1587,9265,87003,140,83,1,2828
72193054,138,347,8021,20168,343,77,5,504
106497416,47,332,4139,29237,1,50,4,1970
104991577,80,315,6862,27020,190,56,5,967
92351388,112,848,3341,25296,393,91,6,2865
3316774,64,563,8324,73225,155,77,6,2901
1134294,52,298,6620,37937,139,79,5,679
56506169,60,467,382,2974,158,57,5,1191
52673069,67,148,9019,19923,233,50,2,993
20396494,79,714,8973,81098,9,51,4,1672
50725599,113,997,575,5074,114,63,3,1441
30268922,52,193,8643,32079,131,33,1,681
57873005,65,348,9087,48651,373,67,6,2079
32325620,90,350,1715,6670,248,18,1,1204
102021486,60,286,7199,34315,234,67,5,852
41104554,167,1528,5346,48915,82,3,2,1404
13319677,176,1037,8263,48685,324,27,4,1994
93974215,157,452,4255,12251,300,25,6,1874
93118179,58,543,4589,42963,193,94,4,1862
111104050,30,188,4263,26715,350,97,1,1654
103908192,104,314,8305,25075,376,18,4,1986
48108188,76,158,7548,15692,79,53,5,1853
91843051,138,1114,4913,39661,8,67,5,1921
88384233,178,653,6025,22102,176,42,5,2422
31085936,81,504,4884,30390,377,11,2,1135
88763553,96,753,8714,68351,387,99,2,1347
54549582,118,246,4456,9289,141,8,2,1361
86091839,55,138,3990,10011,388,25,2,1227
30857430,84,176,8802,18443,132,34,2,1695
95457880,115,605,8822,46411,352,7,6,1683
28139275,134,846,9386,59257,87,28,5,1911
55884391,178,1259,7439,52617,316,90,5,2801
77716437,126,822,5079,33135,273,11,6,1985
94602075,96,289,9694,29182,129,93,2,1249
22732525,169,828,9510,46593,356,14,3,1074
39911249,171,1450,7607,64503,147,66,2,1157
40442248,159,967,5806,35310,82,94,1,1137
72663144,41,297,8671,62811,11,68,4,1613
93238865,35,92,470,1236,350,27,6,878
31339573,84,176,4759,9971,379,68,4,2822
74600171,43,270,580,3642,322,88,3,1262
78333523,112,470,5997,25165,75,13,6,1518
40094864,30,278,8212,76097,3,66,2,1045
73901303,143,367,6098,15651,83,63,5,1869
68867114,146,837,6009,34449,352,1,3,1203
17122781,131,1100,423,3552,189,89,6,1078
